claim_id	occurrence_id	section	paragraph	citation_key	work	claim_type	affirmation_pt	source_excerpt	fact_checked	pages
CLM-009	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-010	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-010	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-010	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-011	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-011	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-011	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-012	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	AUTHOR_INFERENCE	A evidência representada por esses estudos foi produzida quase inteiramente em economias de alta renda.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.		
CLM-012	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	AUTHOR_INFERENCE	A evidência representada por esses estudos foi produzida quase inteiramente em economias de alta renda.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.		
CLM-012	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	AUTHOR_INFERENCE	A evidência representada por esses estudos foi produzida quase inteiramente em economias de alta renda.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.		
CLM-013	CIT-006	Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	DIRECT	O ILO Global Index é o único entre os principais índices de exposição estruturado em torno da ISCO-08.	Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e é o de construção metodologicamente mais robusta, por combinar validação humana de tarefas com classificação assistida por LLMs.		
CLM-014	CIT-006	Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	DIRECT	A ISCO-08 é a classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras.	Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e é o de construção metodologicamente mais robusta, por combinar validação humana de tarefas com classificação assistida por LLMs.		
CLM-015	CIT-006	Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	DIRECT	O ILO Global Index é o índice de construção metodologicamente mais robusta entre os principais índices considerados.	Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e é o de construção metodologicamente mais robusta, por combinar validação humana de tarefas com classificação assistida por LLMs.		
CLM-016	CIT-006	Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	DIRECT	A construção do ILO Global Index combina validação humana de tarefas com classificação assistida por modelos de linguagem.	Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e é o de construção metodologicamente mais robusta, por combinar validação humana de tarefas com classificação assistida por LLMs.		
CLM-017	CIT-006	Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	AUTHOR_INFERENCE	Aplicar o ILO Global Index ao Brasil exigiu construir um crosswalk entre COD, CBO e ISCO-08.	Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e é o de construção metodologicamente mais robusta, por combinar validação humana de tarefas com classificação assistida por LLMs. Aplicá-lo ao Brasil, no entanto, exigiu uma etapa de tradução: construí um crosswalk entre as classificações ocupacionais brasileiras (a COD, usada na PNAD, e a CBO, usada no CAGED) e a ISCO-08.		
CLM-018	CIT-007	Introdução	8	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Brynjolfsson, Chandar e Chen (2025) fornecem a abordagem de referência para um desenho de diferenças em diferenças aplicado à difusão da IA.	Na etapa empírica, segui a abordagem de Brynjolfsson, Chandar e Chen (2025), com um desenho de diferenças em diferenças aplicado ao CAGED, usando o lançamento do ChatGPT como evento e o índice da OIT como fonte de variação no tratamento.		
CLM-019	CIT-007	Introdução	8	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	A abordagem de Brynjolfsson, Chandar e Chen (2025) fundamenta o uso do lançamento do ChatGPT como evento empírico.	Na etapa empírica, segui a abordagem de Brynjolfsson, Chandar e Chen (2025), com um desenho de diferenças em diferenças aplicado ao CAGED, usando o lançamento do ChatGPT como evento e o índice da OIT como fonte de variação no tratamento.		
CLM-020	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	autor_skill_2003	The skill content of recent technological change: An empirical exploration	DIRECT	O trabalho de Autor, Levy e Murnane (2003) é seminal para a abordagem baseada em tarefas.	Seu ponto de partida é o trabalho seminal de Autor, Levy e Murnane (2003), segundo o qual um emprego é, na prática, um conjunto de tarefas.		
CLM-021	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	autor_skill_2003	The skill content of recent technological change: An empirical exploration	DIRECT	Segundo Autor, Levy e Murnane (2003), um emprego é, na prática, um conjunto de tarefas.	Seu ponto de partida é o trabalho seminal de Autor, Levy e Murnane (2003), segundo o qual um emprego é, na prática, um conjunto de tarefas.		
CLM-022	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	autor_skill_2003	The skill content of recent technological change: An empirical exploration	AUTHOR_INFERENCE	A abordagem baseada em tarefas implica que novas tecnologias afetam as tarefas que compõem as ocupações, e não ocupações inteiras de maneira homogênea.	Seu ponto de partida é o trabalho seminal de Autor, Levy e Murnane (2003), segundo o qual um emprego é, na prática, um conjunto de tarefas. Essa abordagem muda nossa perspectiva de maneira objetiva: novas tecnologias não impactam ocupações inteiras de forma homogênea, elas impactam as tarefas que constituem essas ocupações.		
CLM-023	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	agarwal_combining_2023	Combining human expertise with artificial intelligence: Experimental evidence from radiology	DIRECT	Diagnósticos produzidos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos dos Estados Unidos.	Diagnósticos feitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal et al., 2023).		
CLM-024	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	agarwal_combining_2023	Combining human expertise with artificial intelligence: Experimental evidence from radiology	AUTHOR_INFERENCE	O diagnóstico é apenas uma das tarefas do radiologista, cuja profissão também envolve coordenação de equipe, comunicação com outros médicos e interação com pacientes.	Diagnósticos feitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal et al., 2023). Mas o diagnóstico é apenas uma das muitas tarefas da profissão, que também envolve coordenação de equipe, comunicação com outros médicos e interação com pacientes.		
CLM-025	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	agarwal_combining_2023	Combining human expertise with artificial intelligence: Experimental evidence from radiology	AUTHOR_INFERENCE	Automatizar a tarefa de diagnóstico não torna o radiologista inteiramente substituível, porque automatiza apenas uma parte do trabalho.	Diagnósticos feitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal et al., 2023). Mas o diagnóstico é apenas uma das muitas tarefas da profissão, que também envolve coordenação de equipe, comunicação com outros médicos e interação com pacientes. Os avanços da tecnologia não tornam o radiologista substituível justamente porque automatizam uma parte do trabalho, não o trabalho todo.		
CLM-026	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	O GPT Exposure foi desenvolvido pela OpenAI e pela Universidade da Pensilvânia.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo.		
CLM-027	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	O GPT Exposure é apresentado como o trabalho de referência do campo de índices de exposição à IA.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo.		
CLM-028	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	O GPT Exposure é estruturado na taxonomia ocupacional americana O*NET/SOC.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-029	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	O GPT Exposure foi o primeiro índice a usar a própria IA para avaliar tarefas.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-030	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	A avaliação de tarefas do GPT Exposure foi validada contra anotadores humanos.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-031	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	A concordância da avaliação do GPT Exposure com anotadores humanos foi superior a 80%.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-032	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	A classificação do GPT Exposure era essencialmente categórica.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-033	CIT-010	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	AUTHOR_INFERENCE	O critério do GPT Exposure perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa sem reduzir sua qualidade.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância superior a 80%). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade.		
CLM-034	CIT-011	2.3 Índices de exposição à IA na literatura	4	benitez_mirror_2024	Mirror, mirror on the wall: Which jobs will AI replace after all?: A new index of occupational exposure	DIRECT	O GENOE foi desenvolvido no âmbito do Banco Interamericano de Desenvolvimento.	O GENOE (Benítez; Parrado, 2024), do Banco Interamericano de Desenvolvimento, também se apoia na O*NET, mas alterou o prompt fornecido ao modelo: em vez de avaliar tarefas isoladas, oferece ao LLM o contexto completo da ocupação (nome, conjunto de tarefas e implicações sociais), permitindo uma avaliação mais holística.		
CLM-035	CIT-011	2.3 Índices de exposição à IA na literatura	4	benitez_mirror_2024	Mirror, mirror on the wall: Which jobs will AI replace after all?: A new index of occupational exposure	DIRECT	O GENOE se apoia na taxonomia O*NET.	O GENOE (Benítez; Parrado, 2024), do Banco Interamericano de Desenvolvimento, também se apoia na O*NET, mas alterou o prompt fornecido ao modelo: em vez de avaliar tarefas isoladas, oferece ao LLM o contexto completo da ocupação (nome, conjunto de tarefas e implicações sociais), permitindo uma avaliação mais holística.		
CLM-036	CIT-011	2.3 Índices de exposição à IA na literatura	4	benitez_mirror_2024	Mirror, mirror on the wall: Which jobs will AI replace after all?: A new index of occupational exposure	DIRECT	O GENOE alterou o prompt em relação à avaliação de tarefas isoladas.	O GENOE (Benítez; Parrado, 2024), do Banco Interamericano de Desenvolvimento, também se apoia na O*NET, mas alterou o prompt fornecido ao modelo: em vez de avaliar tarefas isoladas, oferece ao LLM o contexto completo da ocupação (nome, conjunto de tarefas e implicações sociais), permitindo uma avaliação mais holística.		
CLM-037	CIT-011	2.3 Índices de exposição à IA na literatura	4	benitez_mirror_2024	Mirror, mirror on the wall: Which jobs will AI replace after all?: A new index of occupational exposure	DIRECT	O GENOE fornece ao modelo o nome, o conjunto de tarefas e as implicações sociais da ocupação.	O GENOE (Benítez; Parrado, 2024), do Banco Interamericano de Desenvolvimento, também se apoia na O*NET, mas alterou o prompt fornecido ao modelo: em vez de avaliar tarefas isoladas, oferece ao LLM o contexto completo da ocupação (nome, conjunto de tarefas e implicações sociais), permitindo uma avaliação mais holística.		
