issue_id	row_id	claim_id	citation_key	occurrence_id	issue_code	severity	claim_as_written_pt	source_supports_pt	mismatch_explanation_pt	printed_pages	pdf_page_indices	source_locator	evidence_path	recommended_revision_pt	needs_new_source	recommended_action
ISS-ROW-0007-02	ROW-0007	CLM-007	brynjolfsson_canaries_2025	CIT-003	CAUSAL_OVERCLAIM	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	Os autores descrevem padrões compatíveis com a hipótese de que a IA generativa começou a afetar o emprego de entrada, com resultados mais agudos para jovens em ocupações expostas.	A dissertação apresenta o impacto da IA como conclusão, enquanto a fonte ressalva que as estimativas podem ser influenciadas por fatores distintos da IA e as caracteriza como consistentes com uma hipótese, não como identificação causal conclusiva.	pp. 4, 27	4, 27	Introduction, p. 4; Section 5 (Conclusion), p. 27	evidence_pages/ROW-0007.pdf	Substituir a formulação causal e conclusiva por linguagem associativa: os padrões são consistentes com a hipótese de que a IA afeta desproporcionalmente o emprego de entrada.	false	REWRITE_CLAIM
ISS-ROW-0007-03	ROW-0007	CLM-007	brynjolfsson_canaries_2025	CIT-003	PDF_VERSION_MISMATCH	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	A folha de rosto do arquivo armazenado identifica o trabalho de Brynjolfsson, Chandar e Chen e o data em 26 de agosto de 2025.	O registro BibLaTeX congelado está datado de 13 de novembro de 2025, mas o PDF armazenado é uma versão anterior, datada de 26 de agosto de 2025. A divergência de versão não determina o veredito substantivo, porém impede tratar a paginação do anexo como a da versão bibliográfica indicada.	p. 1	1	Title page	evidence_pages/ROW-0007.pdf	Substituir o anexo pela versão de 13 de novembro de 2025 ou, se a versão de agosto for intencional, alinhar o registro bibliográfico e a data citada ao arquivo efetivamente auditado.	true	REPLACE_SOURCE
ISS-ROW-0008-01	ROW-0008	CLM-007	hosseini_maasoum_generative_2025	CIT-004	PARTIAL_SCOPE	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	Nos dados de firmas dos Estados Unidos, a adoção de IA generativa está associada à queda relativa do emprego júnior, concentrada em ocupações mais expostas e explicada sobretudo pela redução das contratações.	A fonte examina somente firmas dos Estados Unidos e não apresenta dados do Reino Unido nem uma comparação internacional. A única menção ao Reino Unido encontrada está na bibliografia, no título de outro trabalho; assim, esta fonte não estabelece por si só a alegada convergência entre os dois países.	pp. 4–8	4–8	Introduction, pp. 4–8	evidence_pages/ROW-0008.pdf	Separar o achado norte-americano da evidência britânica: atribuir a Hosseini Maasoum e Lichtinger apenas a queda relativa do emprego júnior e da contratação em firmas adotantes dos Estados Unidos, e sustentar em frase própria qualquer afirmação sobre o Reino Unido ou convergência internacional.	true	NARROW_CLAIM
ISS-ROW-0008-02	ROW-0008	CLM-007	hosseini_maasoum_generative_2025	CIT-004	GENERALIZATION_OVERCLAIM	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	O estudo associa a adoção deliberada de IA generativa à redução relativa do emprego júnior dentro de firmas adotantes dos Estados Unidos, com o ajuste ocorrendo sobretudo por menor contratação.	A redação amplia um resultado sobre IA generativa, firmas adotantes e emprego por senioridade para o impacto da IA no mercado de trabalho em geral. O próprio artigo ressalva que os resultados baseados em variação entre firmas não se generalizam necessariamente à economia agregada.	pp. 4–8	4–8	Introduction, pp. 4–8, especially the aggregate-generalization caveat on p. 8	evidence_pages/ROW-0008.pdf	Restringir a formulação ao universo observado: em firmas dos Estados Unidos que adotaram deliberadamente IA generativa, houve queda relativa do emprego júnior, associada principalmente à desaceleração das contratações.	false	NARROW_CLAIM
ISS-ROW-0009-01	ROW-0009	CLM-007	klein_teeselink_generative_2025	CIT-005	PARTIAL_SCOPE	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	O estudo estima resultados no Reino Unido e encontra redução de emprego concentrada em posições júnior, além de retração da atividade de contratação em firmas e ocupações mais expostas a LLMs.	A evidência empírica própria desta fonte cobre apenas o Reino Unido. Isoladamente, ela não demonstra a convergência binacional afirmada; as referências a resultados dos Estados Unidos aparecem como revisão de literatura e precisam ser verificadas nas fontes primárias correspondentes.	pp. 1, 3–5	1, 3, 4, 5	Introduction (pp. 3–5)	evidence_pages/ROW-0009.pdf	Separar a atribuição por país: ‘No Reino Unido, Klein Teeselink (2025) encontra reduções de emprego concentradas em posições júnior e menor atividade de contratação; estudos dos Estados Unidos devem ser descritos e verificados separadamente antes de se afirmar convergência.’	false	REWRITE_CLAIM
ISS-ROW-0009-02	ROW-0009	CLM-007	klein_teeselink_generative_2025	CIT-005	PDF_VERSION_MISMATCH	MINOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	O PDF armazenado corresponde ao título, autor e DOI do working paper, mas sua página de rosto identifica uma revisão posterior.	A entrada BibLaTeX e o registro congelado trazem a data 22 de setembro de 2025, enquanto o PDF armazenado está datado de 21 de dezembro de 2025. Trata-se do mesmo trabalho em versão revisada, mas a identidade de versão não coincide exatamente.	pp. 1, 3–5	1, 3, 4, 5	Title page	evidence_pages/ROW-0009.pdf	Alinhar a data da entrada bibliográfica à revisão de 21 de dezembro de 2025 ou substituir o anexo por uma versão cuja data corresponda ao registro de 22 de setembro de 2025.	false	MANUAL_REVIEW
ISS-ROW-0010-01	ROW-0010	CLM-008	brynjolfsson_canaries_2025	CIT-003	WRONG_DIRECTION	CRITICAL	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A fonte encontra pouca diferença nas tendências de remuneração por idade ou quintil de exposição e caracteriza como limitadas as mudanças salariais no curto prazo.	A afirmação atribui salários menores ao grupo exposto, mas a fonte conclui que o ajuste aparece sobretudo no emprego e não identifica a queda salarial alegada.	pp. 21, 23	21, 23	Section 4.5 (Fact 5); Figure 11	evidence_pages/ROW-0010.pdf	Reescreva para informar que, entre trabalhadores de 22 a 25 anos, os ajustes associados à maior exposição aparecem principalmente no emprego, enquanto as tendências de remuneração pouco diferem por idade ou exposição. Para manter a alegação de salários menores, use outra fonte que a teste diretamente.	true	REWRITE_CLAIM
ISS-ROW-0010-02	ROW-0010	CLM-008	brynjolfsson_canaries_2025	CIT-003	WRONG_POPULATION	MAJOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A análise identifica trabalhadores em início de carreira pela faixa etária de 22 a 25 anos e não restringe a amostra a recém-formados.	Recém-formados e trabalhadores de 22 a 25 anos não são populações equivalentes; a fonte não estabelece o status de conclusão recente de curso usado na afirmação.	pp. 4, 23	4, 23	Introduction; Figure 11	evidence_pages/ROW-0010.pdf	Substitua “recém-formados” por “trabalhadores de 22 a 25 anos” ao atribuir este resultado à fonte, ou acrescente uma fonte que examine diretamente recém-formados.	true	NARROW_CLAIM
ISS-ROW-0010-03	ROW-0010	CLM-008	brynjolfsson_canaries_2025	CIT-003	PDF_VERSION_MISMATCH	MINOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	O anexo é um working paper do Stanford Digital Economy Lab com o mesmo título e os mesmos autores, datado de 26 de agosto de 2025.	A data impressa da versão armazenada é 26 de agosto de 2025, mas o registro bibliográfico congelado informa 13 de novembro de 2025; portanto, o anexo não corresponde à versão datada no registro.	p. 1	1	Title page	evidence_pages/ROW-0010.pdf	Substitua o anexo pela versão correspondente a 13 de novembro de 2025 ou ajuste o registro bibliográfico para identificar explicitamente a versão de 26 de agosto de 2025.	false	REPLACE_SOURCE
ISS-ROW-0011-01	ROW-0011	CLM-008	hosseini_maasoum_generative_2025	CIT-004	MISSING_EVIDENCE	MAJOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A fonte sustenta queda relativa do emprego júnior em ocupações de alta exposição e menor contratação em firmas adotantes; não estima queda salarial. O apêndice usa apenas salários preditos em um corte transversal de 2022 por qualidade da instituição de ensino.	O desfecho afirmado é salário menor, mas os desfechos empíricos do artigo são emprego e fluxos de contratação, separação e promoção. Além disso, a própria fonte informa que salários efetivos por posição não estão disponíveis. As figuras de salário predito não identificam variação salarial associada à adoção ou exposição à IA.	pp. A.13–A.16	58–61	Appendix A.3.1–A.3.2, footnote 34, Figures A.12–A.15	evidence_pages/ROW-0011.pdf	Retirar Hosseini Maasoum e Lichtinger desta afirmação salarial ou restringir sua atribuição à queda do emprego e da contratação de trabalhadores juniores em ocupações mais expostas. Para manter a afirmação sobre salários menores, citar uma fonte que estime diretamente remuneração após exposição ou adoção de IA.	true	REMOVE_CITATION
ISS-ROW-0011-02	ROW-0011	CLM-008	hosseini_maasoum_generative_2025	CIT-004	WRONG_POPULATION	MAJOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A análise principal compara posições classificadas como juniores e seniores dentro de firmas; ela não restringe a população empírica a recém-formados.	A categoria de senioridade usada pela fonte não equivale necessariamente a recém-formados. Mesmo a heterogeneidade por histórico educacional analisa trabalhadores em posições juniores, não uma coorte definida pela conclusão recente do curso.	pp. A.13–A.16	58–61	Appendix A.3.1–A.3.2	evidence_pages/ROW-0011.pdf	Trocar ‘recém-formados’ por ‘trabalhadores em posições juniores’ ao atribuir resultados a esta fonte, ou acrescentar uma fonte cuja amostra seja explicitamente composta por recém-formados.	true	NARROW_CLAIM
ISS-ROW-0012-01	ROW-0012	CLM-008	klein_teeselink_generative_2025	CIT-005	WRONG_POPULATION	MAJOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A fonte encontra queda no salário anunciado médio de ocupações mais expostas a LLMs e, em análise separada, queda do emprego em posições juniores.	A análise salarial agrega 384 ocupações e não identifica recém-formados ou trabalhadores jovens; a análise por senioridade mede emprego, não os salários desse grupo.	pp. 15, 20, 28	15, 20, 28	Table 3 and accompanying text; Section 4.2.2, Table 4; Section 5 (Conclusion)	evidence_pages/ROW-0012.pdf	Retirar a referência a recém-formados desta atribuição ou acrescentar uma fonte que estime diretamente salários desse grupo.	true	ADD_SOURCE
ISS-ROW-0012-02	ROW-0012	CLM-008	klein_teeselink_generative_2025	CIT-005	PARTIAL_SCOPE	MAJOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	A fonte mede a remuneração anual média anunciada em vagas por ocupação e encontra redução após maior exposição a LLMs.	Salário anunciado em vagas não equivale a salário efetivamente recebido por trabalhadores empregados, como afirma o texto da dissertação.	pp. 20, 28	20, 28	Section 4.2.2, Table 4; Section 5 (Conclusion)	evidence_pages/ROW-0012.pdf	Substituir ‘estão recebendo salários menores’ por formulação sobre queda nos salários anunciados em vagas.	true	NARROW_CLAIM
ISS-ROW-0012-03	ROW-0012	CLM-008	klein_teeselink_generative_2025	CIT-005	PDF_VERSION_MISMATCH	MINOR	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	O PDF armazenado identifica o mesmo título e autor e está datado de 21 de dezembro de 2025.	O registro BibLaTeX está datado de 22 de setembro de 2025, enquanto o PDF armazenado é uma revisão posterior, de 21 de dezembro de 2025.	p. 1	1	Title page	evidence_pages/ROW-0012.pdf	Alinhar a data do registro bibliográfico à revisão armazenada ou substituir o anexo pela versão correspondente a 22 de setembro de 2025.	false	MANUAL_REVIEW
ISS-ROW-0013-01	ROW-0013	CLM-009	brynjolfsson_canaries_2025	CIT-003	GENERALIZATION_OVERCLAIM	MAJOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	Os gráficos de remuneração-base anual mostram alguma separação entre trajetórias, mas o próprio artigo caracteriza a divergência como muito menor que a observada no emprego e afirma haver pouca diferença nas tendências por idade ou quintil de exposição.	A afirmação transforma uma diferença limitada em séries indexadas em uma conclusão geral sobre salários menores. O estudo não compara níveis salariais absolutos e não apresenta uma redução salarial robusta para trabalhadores jovens expostos como conclusão; seu resultado explícito é de ajustes sobretudo no emprego.	pp. 21–23	21–23	Section 4.5 (Fact 5), Figures 10–11	evidence_pages/ROW-0013.pdf	Reescreva para: ‘No estudo dos Estados Unidos, os ajustes associados à maior exposição à IA aparecem sobretudo no emprego, enquanto as tendências de remuneração-base anual diferem pouco por idade ou quintil de exposição.’ Se for necessário manter a afirmação de salários menores, acrescente uma fonte que estime diretamente esse efeito.	true	NARROW_CLAIM
ISS-ROW-0013-02	ROW-0013	CLM-009	brynjolfsson_canaries_2025	CIT-003	PDF_VERSION_MISMATCH	MINOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	O arquivo armazenado corresponde ao mesmo título e aos mesmos autores, mas sua folha de rosto identifica um manuscrito datado de 26 de agosto de 2025.	O registro bibliográfico e o registro da fonte estão datados de 13 de novembro de 2025, enquanto o PDF anexado está datado de 26 de agosto de 2025; portanto, o anexo não é a versão datada registrada.	p. 1	1	Title page	evidence_pages/ROW-0013.pdf	Substitua o anexo pelo arquivo correspondente à versão de 13 de novembro de 2025 ou ajuste o registro bibliográfico para refletir a data comprovada do PDF armazenado.	false	REPLACE_SOURCE
ISS-ROW-0014-01	ROW-0014	CLM-009	hosseini_maasoum_generative_2025	CIT-004	MISSING_EVIDENCE	MAJOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	A fonte sustenta uma redução relativa do emprego e das contratações de trabalhadores juniores, concentrada em ocupações de alta exposição à GenAI nas empresas adotantes.	O desfecho da afirmação é salário recebido, mas o estudo não estima efeitos sobre salários observados. Os salários reais por posição não estão disponíveis; a única medida salarial apresentada é prevista, imputada e usada descritivamente por qualidade da instituição de ensino em 2022.	pp. A.13–A.15	58–60	Appendix A.3.2, footnote 34 and Figure A.14	evidence_pages/ROW-0014.pdf	Reescrever para: “Em empresas adotantes, o emprego de trabalhadores juniores em ocupações mais expostas à GenAI caiu relativamente ao de ocupações menos expostas, sobretudo por menor contratação.” Para manter a afirmação salarial, incluir uma fonte primária que estime diretamente remuneração.	true	REWRITE_CLAIM
ISS-ROW-0015-01	ROW-0015	CLM-009	klein_teeselink_generative_2025	CIT-005	WRONG_POPULATION	MAJOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	A fonte estima redução de empregados de baixa senioridade no nível da firma e, separadamente, queda de salários anunciados no nível da ocupação.	A fonte não apresenta uma estimativa de salários para trabalhadores definidos por idade. Baixa senioridade não é o mesmo recorte que trabalhadores jovens, e os resultados de senioridade e salário pertencem a análises distintas.	pp. 15, 20–21	15, 20–21	Table 3; Section 4.2.2 and Table 4	evidence_pages/ROW-0015.pdf	Distinguir os dois resultados: ocupações mais expostas tiveram queda nos salários anunciados, enquanto firmas mais expostas reduziram o emprego em posições de baixa senioridade. Para manter o recorte de trabalhadores jovens, adicionar uma fonte com estimativa salarial por idade.	true	ADD_SOURCE
ISS-ROW-0015-02	ROW-0015	CLM-009	klein_teeselink_generative_2025	CIT-005	PARTIAL_SCOPE	MAJOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	A análise ocupacional encontra uma queda de £495, ou 1,1%, na remuneração anual anunciada nas vagas por desvio-padrão adicional de exposição a LLMs.	O desfecho observado é salário anunciado em vagas, uma medida de demanda e remuneração ofertada, não salário efetivamente recebido por trabalhadores empregados.	pp. 20–21	20–21	Section 4.2.2 and Table 4	evidence_pages/ROW-0015.pdf	"Substituir ""recebendo salários menores"" por ""enfrentando queda nos salários anunciados nas vagas"" ao descrever este estudo."	false	NARROW_CLAIM
ISS-ROW-0015-03	ROW-0015	CLM-009	klein_teeselink_generative_2025	CIT-005	PDF_VERSION_MISMATCH	MINOR	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	"O arquivo armazenado é o working paper da SSRN intitulado ""Generative AI and Labor Market Outcomes: Evidence from the United Kingdom"", de Bouke Klein Teeselink."	A página de título do PDF armazenado data a versão em 21 de dezembro de 2025, enquanto o registro BibLaTeX congelado informa 22 de setembro de 2025.	p. 1	1	Title page	evidence_pages/ROW-0015.pdf	Alinhar o registro bibliográfico à versão armazenada de 21 de dezembro de 2025 ou substituir o anexo pela versão de 22 de setembro de 2025 correspondente ao registro congelado.	false	MANUAL_REVIEW
ISS-ROW-0016-01	ROW-0016	CLM-010	brynjolfsson_canaries_2025	CIT-003	WRONG_POPULATION	MAJOR	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	O estudo denomina de início de carreira a faixa de 22 a 25 anos e reporta a queda de emprego para esse grupo etário.	A afirmação substitui uma faixa etária por uma condição educacional. O estudo não seleciona nem identifica recém-formados, portanto não sustenta esse recorte populacional específico.	p. 3	3	Introduction, first and second key findings	evidence_pages/ROW-0016.pdf	Substituir ‘recém-formados’ por ‘trabalhadores de 22 a 25 anos no início da carreira’; para manter o recorte de recém-formados, acrescentar uma fonte que observe diretamente a condição de graduação recente.	true	ADD_SOURCE
ISS-ROW-0016-02	ROW-0016	CLM-010	brynjolfsson_canaries_2025	CIT-003	GENERALIZATION_OVERCLAIM	MAJOR	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	O estudo encontra queda de 6% no emprego de trabalhadores de 22 a 25 anos nos dois quintis de maior exposição entre o fim de 2022 e julho de 2025, com padrões distintos conforme a IA automatiza ou aumenta o trabalho.	A afirmação amplia o resultado das ocupações mais expostas para ocupações expostas em geral e converte uma variação observada no estoque de emprego em ‘menor oferta de trabalho’, embora a fonte não meça diretamente vagas, ofertas ou fluxos de contratação.	p. 3	3	Introduction, second and third key findings	evidence_pages/ROW-0016.pdf	Restringir a formulação a queda de emprego entre trabalhadores de 22 a 25 anos nas ocupações de maior exposição à IA, no período e no contexto dos Estados Unidos examinados pelo estudo.	false	NARROW_CLAIM
ISS-ROW-0016-03	ROW-0016	CLM-010	brynjolfsson_canaries_2025	CIT-003	PDF_VERSION_MISMATCH	MINOR	Recém-formados em ocupações expostas à IA estão enfrentando menor oferta de trabalho.	O arquivo armazenado é um working paper do Stanford Digital Economy Lab datado de 26 de agosto de 2025.	A entrada BibLaTeX congelada registra 13 de novembro de 2025, enquanto a folha de rosto do PDF armazenado registra 26 de agosto de 2025; o anexo pode corresponder a uma versão anterior do mesmo working paper.	p. 1	1	Title page	evidence_pages/ROW-0016.pdf	Substituir o anexo pela versão exata correspondente à data bibliográfica de 13 de novembro de 2025 e reconfirmar paginação e conteúdo antes da versão final da dissertação.	false	REPLACE_SOURCE
