occurrence_id	context_id	document_line	section	paragraph	citation_key	work	citation_text	citation_url	citation_start	citation_end	source_context
CIT-REV-011	CTX-REV-008	30	2.3 Índices de exposição à IA na literatura	4	benitez_mirror_2024	Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?: A New Index of Occupational Exposure	Benítez e Parrado (2024)	https://doi.org/10.18235/0013125	16	76	O **GENOE**, de [Benítez e Parrado (2024)](https://doi.org/10.18235/0013125), também se apoia na O\*NET, mas altera o prompt fornecido ao modelo: em vez de avaliar tarefas isoladas, informa o nome da ocupação e o vetor completo de tarefas. Essa avaliação holística permite que o modelo considere implicitamente diferenças de contexto, inclusive aspectos éticos e sociais, ao comparar ocupações.
CIT-REV-012	CTX-REV-009	31	2.3 Índices de exposição à IA na literatura	5	appel_anthropic_2026	Anthropic Economic Index report: Economic primitives	Appel *et al.* (2026)	https://www.anthropic.com/research/economic-index-primitives	35	248	O **Anthropic Economic Index**, de [Appel ](https://www.anthropic.com/research/economic-index-primitives)[*et al.*](https://www.anthropic.com/research/economic-index-primitives)[ (2026)](https://www.anthropic.com/research/economic-index-primitives), parte de conversas reais de usuários com os modelos Claude. Além dos padrões de colaboração classificados como automação ou ampliação das capacidades humanas, o relatório introduz cinco dimensões econômicas, entre elas a *autonomia, *o grau em que o usuário delega decisões à máquina, e a *taxa de sucesso* da tarefa.
CIT-REV-013	CTX-REV-010	32	2.3 Índices de exposição à IA na literatura	6	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.* (2025)	https://doi.org/10.54394/HETP0387	27	160	O **ILO Global Index**, de [Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[ (2025)](https://doi.org/10.54394/HETP0387), é estruturado na **ISCO-08**, a Classificação Internacional Uniforme de Ocupações. Sua classificação combina validação humana e LLMs em três camadas: 1.640 trabalhadores avaliaram tarefas de sua própria área, um painel de especialistas revisou um subconjunto para avaliar a viabilidade prática da automação, e os modelos GPT-4o e Gemini Flash 1.5 atuaram como desempate nos casos de divergência. Esse gabarito validado por humanos foi então usado para escalar a classificação às 3.265 tarefas da ISCO-08. Além disso, o índice combina a média das pontuações atribuídas às tarefas de cada ocupação com seu desvio-padrão, que mede a dispersão entre essas tarefas. Essa combinação classifica as ocupações pelo nível e pela variabilidade da exposição potencial. Ela não prevê quais profissões serão preservadas ou extintas ([Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[, 2025, p. 37–38, 44](https://doi.org/10.54394/HETP0387)).
CIT-REV-014	CTX-REV-010	32	2.3 Índices de exposição à IA na literatura	6	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.*, 2025, p. 37–38, 44	https://doi.org/10.54394/HETP0387	981	1127	O **ILO Global Index**, de [Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[ (2025)](https://doi.org/10.54394/HETP0387), é estruturado na **ISCO-08**, a Classificação Internacional Uniforme de Ocupações. Sua classificação combina validação humana e LLMs em três camadas: 1.640 trabalhadores avaliaram tarefas de sua própria área, um painel de especialistas revisou um subconjunto para avaliar a viabilidade prática da automação, e os modelos GPT-4o e Gemini Flash 1.5 atuaram como desempate nos casos de divergência. Esse gabarito validado por humanos foi então usado para escalar a classificação às 3.265 tarefas da ISCO-08. Além disso, o índice combina a média das pontuações atribuídas às tarefas de cada ocupação com seu desvio-padrão, que mede a dispersão entre essas tarefas. Essa combinação classifica as ocupações pelo nível e pela variabilidade da exposição potencial. Ela não prevê quais profissões serão preservadas ou extintas ([Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[, 2025, p. 37–38, 44](https://doi.org/10.54394/HETP0387)).
CIT-REV-015	CTX-REV-011	44	2.3 Índices de exposição à IA na literatura	table-row-near-44	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	Eloundou *et al.*, 2023	https://doi.org/10.48550/arXiv.2303.10130	18	176	"<tr>
<td>GPT Exposure ([Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[, 2023](https://doi.org/10.48550/arXiv.2303.10130))</td>
<td>O\*NET / SOC (EUA)</td>
<td>LLM avaliando tarefa a tarefa, validado contra humanos; critério categórico (redução de 50% do tempo)</td>
<td>Taxonomia explícita por tarefa e comparação entre anotações humanas e do GPT-4</td>
<td>A classificação por tarefa é discreta; a taxonomia americana exige *crosswalk* adicional</td>
<td>Referência conceitual</td>
</tr>"
CIT-REV-016	CTX-REV-012	52	2.3 Índices de exposição à IA na literatura	table-row-near-52	benitez_mirror_2024	Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?: A New Index of Occupational Exposure	Benítez; Parrado, 2024	https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure	11	157	"<tr>
<td>GENOE ([Benítez; Parrado, 2024](https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure))</td>
<td>O\*NET / SOC (EUA)</td>
<td>LLM recebe o nome da ocupação e o vetor completo de tarefas</td>
<td>Sensível a barreiras sociais e institucionais</td>
<td>Avaliações inteiramente sintéticas, sem validação direta por especialistas — a aferição é indireta, pela replicação do AIOE; base americana</td>
<td>Comparação</td>
</tr>"
CIT-REV-017	CTX-REV-013	60	2.3 Índices de exposição à IA na literatura	table-row-near-60	appel_anthropic_2026	Anthropic Economic Index report: Economic primitives	Appel *et al.*, 2026	https://www.anthropic.com/research/economic-index-primitives	30	242	"<tr>
<td>Anthropic Economic Index ([Appel ](https://www.anthropic.com/research/economic-index-primitives)[*et al.*](https://www.anthropic.com/research/economic-index-primitives)[, 2026](https://www.anthropic.com/research/economic-index-primitives))</td>
<td>Conversas globais com Claude; O\*NET/SOC e BLS na análise ocupacional</td>
<td>Uso efetivo dos modelos; dimensões de autonomia e taxa de sucesso</td>
<td>Mede uso real; distingue automação de complementaridade</td>
<td>Viés de amostragem (apenas usuários de modelos específicos); base americana</td>
<td>Comparação</td>
</tr>"
CIT-REV-018	CTX-REV-014	68	2.3 Índices de exposição à IA na literatura	table-row-near-68	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.*, 2025	https://doi.org/10.54394/HETP0387	22	154	"<tr>
<td>ILO Global Index ([Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[, 2025](https://doi.org/10.54394/HETP0387))</td>
<td>ISCO-08 (internacional)</td>
<td>Validação em três camadas (trabalhadores, especialistas e LLMs) escalada por LLM; média e desvio padrão das tarefas</td>
<td>Validação em múltiplas etapas e comparabilidade internacional via ISCO-08</td>
<td>Índice global; pode não captar especificidades brasileiras; sua aplicação exige *crosswalk* COD/CBO–ISCO</td>
<td>Índice principal</td>
</tr>"
CIT-REV-019	CTX-REV-015	77	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	1	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.* (2025)	https://doi.org/10.54394/HETP0387	49	182	Esta dissertação adota o **ILO Global Index** de [Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[ (2025)](https://doi.org/10.54394/HETP0387) como medida principal de exposição ocupacional à inteligência artificial. A escolha se apoia na arquitetura do índice em torno da ISCO-08, que funciona como denominador comum para os mapeamentos entre classificações nacionais, e em sua combinação de avaliação humana com classificação assistida por modelos de linguagem.
CIT-REV-020	CTX-REV-016	91	3.1 Base analítica e amostra	1	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.* (2025)	https://doi.org/10.54394/HETP0387	169	302	A base analítica desta etapa combina os microdados da PNAD Contínua do 3º trimestre de 2025, produzida pelo IBGE, com os escores ocupacionais do **ILO Global Index** de [Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[ (2025)](https://doi.org/10.54394/HETP0387). Optei pelo 3º trimestre de 2025 por ser o período mais recente com microdados completos disponíveis no momento da análise, o que permite retratar a estrutura ocupacional brasileira já sob ampla difusão da inteligência artificial. Da pesquisa, selecionei 15 variáveis que cobrem características demográficas, ocupacionais, salariais e de jornada. As observações passaram por filtros conservadores: remoção de dados faltantes críticos, restrição à faixa etária de 18 a 65 anos e exclusão de códigos de ocupação inválidos. Ponderado pelo peso amostral V1028, o universo final representa 97,8 milhões de trabalhadores ocupados.
CIT-REV-021	CTX-REV-017	107	3.1 Base analítica e amostra	table-row-near-107	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.*, 2025	https://doi.org/10.54394/HETP0387	50	182	"<tr>
<td>Fonte</td>
<td>PNADc 3T/2025 (IBGE) + ILO Working Paper 140 ([Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[, 2025](https://doi.org/10.54394/HETP0387))</td>
</tr>"
CIT-REV-022	CTX-REV-018	167	3.1 Base analítica e amostra	table-row-near-167	brasil_decreto_12342_2024	Decreto nº 12.342, de 30 de dezembro de 2024	Brasil, 2024	https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12342.htm	15	106	"<tr>
<td>Salário mínimo de referência</td>
<td>R\$ 1.518 ([Brasil, 2024](https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12342.htm))</td>
</tr>"
CIT-REV-023	CTX-REV-019	225	3.2 Distribuição agregada da exposição à IA no Brasil	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.*, 2025	https://doi.org/10.54394/HETP0387	402	534	"*Nota: o agrupamento do ILO combina a média (μ) e o desvio padrão (σ) das pontuações de tarefa. Exposição mínima: μ \< 0,5 e μ+σ \> 0,4. Gradiente 1: μ \< 0,4 e μ+σ ≥ 0,5. Gradiente 2: 0,4 ≤ μ \< 0,5 e μ+σ ≥ 0,5. Gradiente 3: 0,5 ≤ μ \< 0,6 e μ+σ ≥ 0,5. Gradiente 4: μ ≥ 0,6 e μ−σ ≥ 0,5. ""Sem classificação"" reúne cerca de 1,1% da população, com pontuação atribuída por agregação ISCO, nível em que o *[Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[, 2025](https://doi.org/10.54394/HETP0387)* não reporta gradiente.*"
CIT-REV-024	CTX-REV-020	474	3.5.2 Análise por raça	3	osorio_o_2003	O sistema classificatório de “cor ou raça” do IBGE	Osorio (2003)	https://repositorio.ipea.gov.br/bitstreams/e09cc868-669f-4064-b396-693e22e0ce07/download	262	367	O padrão racial é semelhante em magnitude, mas oposto à direção que se costuma esperar em análises de desigualdade: trabalhadores brancos têm exposição média de 0,305, contra 0,257 entre trabalhadores negros, definidos pela agregação de pretos e pardos conforme [Osorio (2003)](https://repositorio.ipea.gov.br/bitstreams/e09cc868-669f-4064-b396-693e22e0ce07/download), uma diferença relativa de +19% sobre a média negra. Em alta exposição, 12,5% dos brancos (5,2 milhões) estão expostos, contra 8,4% dos negros (4,5 milhões): os brancos são 1,5 vez mais presentes na alta exposição, mesmo sendo um contingente 11,9 milhões menor na força de trabalho ocupada (41,5 ante 53,4 milhões). A interpretação econômica conecta-se diretamente ao que foi visto: as ocupações de alta exposição são, em sua maioria, *white collar* e, no Brasil, esse tipo de trabalho está historicamente associado a maior renda e escolaridade. O país carrega um legado de desigualdade racial, com uma estrutura de mercado de trabalho forjada em séculos de escravidão, que concentrou e ainda concentra grande parte da população negra em ocupações elementares, da construção, dos serviços domésticos e da indústria de transformação, setores de alto volume, baixa remuneração e baixa exposição à IA.
CIT-REV-025	CTX-REV-021	479	3.5.3 Análise por faixa etária	3	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	Brynjolfsson, Chandar e Chen (2025)	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	800	986	A exposição decresce de forma monotônica com a idade, partindo de 0,304 na faixa de 18 a 24 anos e caindo até 0,252 na faixa de 55 a 59 anos, uma diferença de 0,056 ponto, equivalente a +22% para os mais jovens em relação aos mais velhos. O contraste é ainda mais expressivo no segmento de alta exposição: a faixa de 18 a 24 anos tem 3,2 vezes mais trabalhadores em alta exposição (16,2%) do que a de 55+ (5,9%). Os jovens estão mais expostos por uma razão estrutural: ingressam preferencialmente em ocupações de apoio administrativo, vendas e serviços qualificados, justamente as mais expostas. Esse achado tem peso analítico relevante na segunda etapa desta dissertação, em que avalio se essa coorte mais exposta sofreu efeitos diferenciados após o lançamento do ChatGPT, padrão já documentado por [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) nos Estados Unidos.
CIT-REV-026	CTX-REV-022	503	4.1 Abordagem de diferenças em diferenças	1	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	Brynjolfsson, Chandar e Chen (2025)	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	56	242	Uma referência para a estratégia empírica é o estudo de [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/). Os autores usam registros mensais da ADP, que processa a folha de mais de 25 milhões de trabalhadores nos Estados Unidos. Em vez de estimar cada vínculo separadamente, eles agregam o emprego em células de firma, quintil de exposição e mês e aplicam uma regressão de Poisson com efeitos fixos de firma por quintil e de firma por tempo ([Brynjolfsson; Chandar; Chen, 2025, p. 12](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/)). O principal resultado é uma queda relativa de 16% no emprego de trabalhadores de 22 a 25 anos nas ocupações mais expostas, enquanto os trabalhadores mais experientes nas mesmas ocupações permaneceram estáveis ou cresceram.
