change_id	priority	change_type	proposal_mode	section	paragraph	claim_ids	occurrence_ids	citation_keys	current_text_pt	proposed_text_pt	notion_anchor	primary_verdicts	issue_codes	issue_severity	pages	evidence_paths	official_urls	target_system	dependency	covered_row_ids	notion_old_str_sha256	expected_match_count	approval_status
CHG-011	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	3	CLM-CUR-025	CIT-CUR-010	eloundou_gpts_2023	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância de 80,8% e 82,1% em duas das três medidas, e de 65,6% na terceira). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a mesma qualidade.	Substituir por: “Eloundou et al. (2023) propõem uma nova rubrica para medir a exposição de tarefas a LLMs, aplicando-a com anotações humanas e classificações do GPT-4.” Se for indispensável manter a caracterização como trabalho de referência, acrescentar uma revisão independente ou evidência bibliométrica que a sustente. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de	OVERSTATED	GENERALIZATION_OVERCLAIM	MAJOR	N/A — documento sem folios impressos; evidência nas páginas físicas 2–3	evidence_pages/ROW-CUR-0035.pdf	https://doi.org/10.48550/arXiv.2303.10130	NOTION	AUTHOR_APPROVAL	ROW-CUR-0035	da29a636da23d1ae8f10fb972e8c9073277f41d52564f3f495f54eab4404a68b	1	PROPOSED
CHG-012	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	3	CLM-CUR-027	CIT-CUR-010	eloundou_gpts_2023	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado na O*NET/SOC americana, foi o primeiro a usar a própria IA para avaliar tarefas, validando a abordagem contra anotadores humanos (concordância de 80,8% e 82,1% em duas das três medidas, e de 65,6% na terceira). Sua classificação era essencialmente categórica: perguntava se a IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a mesma qualidade.	Sem uma fonte comparativa que demonstre a primazia, revise para: ‘O GPT Exposure empregou o próprio GPT-4 como classificador para aplicar uma nova rubrica a tarefas ocupacionais.’ Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	O GPT Exposure (Eloundou et al., 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de	PARTIALLY_SUPPORTED	AUTHOR_INFERENCE_UNSUPPORTED	MAJOR	N/A	evidence_pages/ROW-CUR-0037.pdf	https://doi.org/10.48550/arXiv.2303.10130	NOTION	AUTHOR_APPROVAL	ROW-CUR-0037	da29a636da23d1ae8f10fb972e8c9073277f41d52564f3f495f54eab4404a68b	1	PROPOSED
CHG-015	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-045	CIT-CUR-013	gmyrek_generative_2025	O ILO Global Index (Gmyrek et al., 2025), da OIT, é o único estruturado na ISCO-08, a classificação ocupacional internacional da ONU, complementada pela taxonomia polonesa de seis dígitos. Sua classificação combina validação humana e LLMs em três camadas: 1.640 trabalhadores avaliaram tarefas de sua própria área, um painel de especialistas revisou um subconjunto para avaliar a viabilidade prática da automação, e os modelos GPT-4o e Gemini Flash 1.5 atuaram como desempate nos casos de divergência. Esse gabarito validado por humanos foi então usado para escalar a classificação às 3.265 tarefas da ISCO-08. Além disso, o índice combina a média das pontuações atribuídas às tarefas de cada ocupação com seu desvio-padrão, que mede a dispersão entre essas tarefas. Essa combinação classifica as ocupações pelo nível e pela variabilidade da exposição potencial. Ela não prevê quais profissões serão preservadas ou extintas (Gmyrek et al., 2025, pp. 37–38, 44).	O ILO Global Index é estruturado na ISCO-08. Para manter o qualificativo “único”, acrescente uma fonte comparativa que examine explicitamente o universo pertinente de índices. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	O ILO Global Index (Gmyrek et al., 2025), da OIT, é o único estruturado na ISCO-08, a classificação	OVERSTATED	GENERALIZATION_OVERCLAIM	MAJOR	11, 37, 46	evidence_pages/ROW-CUR-0055.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0055	271d606054db43f10a8bde4140993693f05c4457be934e35913416f564f2425e	1	PROPOSED
CHG-016	P1	CLAIM_TEXT	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-046	CIT-CUR-013	gmyrek_generative_2025	O ILO Global Index (Gmyrek et al., 2025), da OIT, é o único estruturado na ISCO-08, a classificação ocupacional internacional da ONU, complementada pela taxonomia polonesa de seis dígitos. Sua classificação combina validação humana e LLMs em três camadas: 1.640 trabalhadores avaliaram tarefas de sua própria área, um painel de especialistas revisou um subconjunto para avaliar a viabilidade prática da automação, e os modelos GPT-4o e Gemini Flash 1.5 atuaram como desempate nos casos de divergência. Esse gabarito validado por humanos foi então usado para escalar a classificação às 3.265 tarefas da ISCO-08. Além disso, o índice combina a média das pontuações atribuídas às tarefas de cada ocupação com seu desvio-padrão, que mede a dispersão entre essas tarefas. Essa combinação classifica as ocupações pelo nível e pela variabilidade da exposição potencial. Ela não prevê quais profissões serão preservadas ou extintas (Gmyrek et al., 2025, pp. 37–38, 44).	A ISCO-08 é a Classificação Internacional Uniforme de Ocupações, na versão de 2008.	O ILO Global Index (Gmyrek et al., 2025), da OIT, é o único estruturado na ISCO-08, a classificação	PARTIALLY_SUPPORTED	MISSING_EVIDENCE	MINOR	7; 9; contracapa sem numeração	evidence_pages/ROW-CUR-0056.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0056	271d606054db43f10a8bde4140993693f05c4457be934e35913416f564f2425e	1	PROPOSED
CHG-020	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-064	CIT-CUR-015	eloundou_gpts_2023	GPT Exposure (Eloundou et al., 2023) | O*NET / SOC (EUA) | LLM avaliando tarefa a tarefa, validado contra humanos; critério categórico (redução de 50% do tempo) | Pioneirismo metodológico; validação humana inicial | Critério categórico e binário, que não gradua a exposição; taxonomia americana exige crosswalk adicional | Referência conceitual	Separar o dado documentado da inferência: 'O índice de Eloundou et al. (2023) usa O*NET 27.2 e dados do BLS para o mercado de trabalho dos EUA. Sua aplicação ao Brasil demandaria uma etapa própria de compatibilização ocupacional.' A segunda frase requer uma fonte adicional sobre a classificação brasileira e sua compatibilização com a base norte-americana. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	/ SOC (EUA) | LLM avaliando tarefa a tarefa, validado contra humanos; critério categórico (redução de 50% do	PARTIALLY_SUPPORTED	PARTIAL_SCOPE	MAJOR	N/A	evidence_pages/ROW-CUR-0074.pdf	https://doi.org/10.48550/arXiv.2303.10130	NOTION	AUTHOR_APPROVAL	ROW-CUR-0074	37217d4064972c2201a247d573c5eae65d53841ce873e84d483e992eec6c4239	1	PROPOSED
CHG-021	P1	CLAIM_TEXT	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-067	CIT-CUR-016	benitez_mirror_2024	GENOE (Benítez; Parrado, 2024) | O*NET / SOC (EUA) | LLM com contexto completo da ocupação (avaliação holística) | Sensível a barreiras sociais e institucionais | Avaliações inteiramente sintéticas, sem validação direta por especialistas — a aferição é indireta, pela replicação do AIOE; base americana | Comparação	O GENOE fornece ao modelo o nome da ocupação e seu vetor completo de tarefas, possibilitando uma avaliação holística.	/ SOC (EUA) | LLM com contexto completo da ocupação (avaliação holística) | Sensível a barreiras sociais e	OVERSTATED	PARTIAL_SCOPE	MINOR	3-5	evidence_pages/ROW-CUR-0077.pdf	https://doi.org/10.18235/0013125	NOTION	AUTHOR_APPROVAL	ROW-CUR-0077	16c6efcc5b3e78a0e0bbf3bd054cdf92d89767711d1001198d6f7db863da524a	1	PROPOSED
CHG-023	P1	CLAIM_TEXT	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-080	CIT-CUR-017	appel_anthropic_2026	Anthropic Economic Index (Appel et al., 2026) | Dados reais de uso e estruturação O*NET / SOC (EUA) | Uso efetivo dos modelos; dimensões de autonomia e taxa de sucesso | Mede uso real; distingue automação de complementaridade | Viés de amostragem (apenas usuários de modelos específicos); base americana | Comparação	O Anthropic Economic Index ancora parte da análise ocupacional no O*NET e valida a medida de escolaridade com dados BLS/ACS dos EUA, mas sua base de uso inclui conversas globais do Claude.ai.	/ SOC (EUA) | Uso efetivo dos modelos; dimensões de autonomia e taxa de sucesso | Mede uso	OVERSTATED	GENERALIZATION_OVERCLAIM	MAJOR	2, 21, 24, 36	evidence_pages/ROW-CUR-0090.pdf	https://www.anthropic.com/research/anthropic-economic-index-january-2026-report	NOTION	AUTHOR_APPROVAL	ROW-CUR-0090	ccd7d5f33d29d6d6f135ba69c6ec7456babb7251b6b0de1efa0e5d0791bcd451	1	PROPOSED
CHG-024	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	6	CLM-CUR-089	CIT-CUR-018	gmyrek_generative_2025	ILO Global Index (Gmyrek et al., 2025) | ISCO-08 (internacional) | Validação em três camadas (trabalhadores, especialistas e LLMs) escalada por LLM; média e desvio padrão das tarefas | Validação em múltiplas etapas e comparabilidade internacional via ISCO-08 | Índice global; pode não captar especificidades brasileiras; exige crosswalk COD/CBO | Índice principal	Reescrever como: ‘O ILO Global Index usa a ISCO-08 como denominador comum e informa que existem mapeamentos dos sistemas ocupacionais nacionais para esse padrão.’ Para manter a menção ao Brasil, COD e CBO, adicionar uma fonte brasileira que documente o crosswalk e justifique a necessidade das duas classificações. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	ILO Global Index (Gmyrek et al., 2025) | ISCO-08 (internacional) | Validação em três camadas (trabalhadores, especialistas e	PARTIALLY_SUPPORTED	PARTIAL_SCOPE	MAJOR	39, 46	evidence_pages/ROW-CUR-0099.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0099	4e97d5d6604df75492d8015caf09d58d929278a91022e928a3e8d179b6f01755	1	PROPOSED
CHG-025	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	1	CLM-CUR-092	CIT-CUR-019	gmyrek_generative_2025	Esta dissertação adota o ILO Global Index (Gmyrek et al., 2025) como medida principal de exposição ocupacional à inteligência artificial. A escolha se apoia em dois critérios: a compatibilidade do índice com as classificações ocupacionais brasileiras e sua combinação de avaliação humana com classificação assistida por modelos de linguagem.	A escolha apoia-se na arquitetura ISCO-08 do índice, que permite mapeamentos com sistemas ocupacionais nacionais; para afirmar compatibilidade específica com as classificações brasileiras utilizadas, acrescentar uma fonte que documente sua correspondência com a ISCO-08. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	Esta dissertação adota o ILO Global Index (Gmyrek et al., 2025) como medida principal de exposição ocupacional à	PARTIALLY_SUPPORTED	MISSING_EVIDENCE	MAJOR	9, 46	evidence_pages/ROW-CUR-0102.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0102	2c2561d58f98705671c4bad86f211abeab99cb3d3c9acebb5e941efcb3f4fb86	1	PROPOSED
CHG-026	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	3.1 Base analítica e amostra	1	CLM-CUR-094	CIT-CUR-020	gmyrek_generative_2025	A base analítica desta etapa combina os microdados da PNAD Contínua do 3º trimestre de 2025, produzida pelo IBGE, ao ILO Global Index (Gmyrek et al., 2025). Optei pelo 3º trimestre de 2025 por ser o período mais recente com microdados completos disponíveis no momento da análise, o que permite retratar a estrutura ocupacional brasileira já sob ampla difusão da inteligência artificial. Da pesquisa, selecionei 15 variáveis que cobrem características demográficas, ocupacionais, salariais e de jornada. As observações passaram por filtros conservadores: remoção de dados faltantes críticos, restrição à faixa etária de 18 a 65 anos e exclusão de códigos de ocupação inválidos. Ponderado pelo peso amostral V1028, o universo final representa 97,8 milhões de trabalhadores ocupados.	A base analítica combina os microdados da PNAD Contínua do 3º trimestre de 2025 com os escores ocupacionais do ILO Global Index de Gmyrek et al. (2025); a escolha da PNAD, o período e o procedimento de vinculação devem ser documentados por uma fonte ou nota metodológica específica. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	A base analítica desta etapa combina os microdados da PNAD Contínua do 3º trimestre de 2025, produzida pelo	PARTIALLY_SUPPORTED	MISSING_EVIDENCE	MAJOR	43, 46	evidence_pages/ROW-CUR-0104.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0104	e0dcca1a6b5d389276f4bbfb4eee3067a24fd189b0b5944f4493eed11ab93ce1	1	PROPOSED
