row_id	claim_id	citation_key	occurrence_id	section	claim_type	status	batch
R0079	CLM-067	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0080	CLM-068	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0081	CLM-069	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0082	CLM-070	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0083	CLM-071	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0084	CLM-072	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0085	CLM-073	benitez_mirror_2024	CIT-015	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0086	CLM-074	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0087	CLM-075	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0088	CLM-076	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0089	CLM-077	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0090	CLM-078	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0091	CLM-079	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0092	CLM-080	appel_anthropic_2026	CIT-016	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0093	CLM-081	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0094	CLM-082	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0095	CLM-083	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0096	CLM-084	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0097	CLM-085	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0098	CLM-086	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0099	CLM-087	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0100	CLM-088	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0101	CLM-089	gmyrek_generative_2025	CIT-017	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0102	CLM-090	gmyrek_generative_2025	CIT-018	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	DIRECT	PENDING	MAIN
R0103	CLM-091	gmyrek_generative_2025	CIT-018	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	AUTHOR_INFERENCE	PENDING	MAIN
R0104	CLM-092	gmyrek_generative_2025	CIT-018	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	AUTHOR_INFERENCE	PENDING	MAIN
R0105	CLM-093	gmyrek_generative_2025	CIT-019	3.1 Base analítica e amostra	DIRECT	PENDING	MAIN
R0106	CLM-094	gmyrek_generative_2025	CIT-020	3.1 Base analítica e amostra	DIRECT	PENDING	MAIN
R0107	CLM-095	brasil_decreto_12342_2024	CIT-021	3.1 Base analítica e amostra	DIRECT	PENDING	MAIN
R0108	CLM-096	osorio_o_2003	CIT-022	3.5.2 Análise por raça	DIRECT	PENDING	MAIN
R0109	CLM-097	brynjolfsson_canaries_2025	CIT-023	3.5.3 Análise por faixa etária	DIRECT	PENDING	MAIN
R0110	CLM-098	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0111	CLM-099	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0112	CLM-100	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0113	CLM-101	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0114	CLM-102	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0115	CLM-103	brynjolfsson_canaries_2025	CIT-024	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0116	CLM-104	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0117	CLM-105	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0118	CLM-106	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0119	CLM-107	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0120	CLM-108	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0121	CLM-109	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0122	CLM-110	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0123	CLM-111	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0124	CLM-112	brynjolfsson_canaries_2025	CIT-025	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0125	CLM-113	brynjolfsson_canaries_2025	CIT-026	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0126	CLM-114	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0127	CLM-114	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0128	CLM-114	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0129	CLM-114	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0130	CLM-115	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0131	CLM-115	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0132	CLM-115	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0133	CLM-115	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0134	CLM-116	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0135	CLM-116	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0136	CLM-116	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0137	CLM-116	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0138	CLM-117	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0139	CLM-117	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0140	CLM-117	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0141	CLM-117	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0142	CLM-118	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0143	CLM-118	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0144	CLM-118	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0145	CLM-118	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0146	CLM-119	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0147	CLM-119	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0148	CLM-119	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0149	CLM-119	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0150	CLM-120	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0151	CLM-120	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0152	CLM-120	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0153	CLM-120	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0154	CLM-121	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0155	CLM-121	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0156	CLM-121	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0157	CLM-121	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0158	CLM-122	goodman_bacon_difference_2021	CIT-027	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0159	CLM-122	callaway_difference_2021	CIT-028	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0160	CLM-122	sun_estimating_2021	CIT-029	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0161	CLM-122	de_chaisemartin_two-way_2020	CIT-030	4.1 Abordagem de diferenças em diferenças	AUTHOR_INFERENCE	PENDING	MAIN
R0162	CLM-123	humlum_still_2025	CIT-031	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0163	CLM-124	humlum_still_2025	CIT-031	4.1 Abordagem de diferenças em diferenças	DIRECT	PENDING	MAIN
R0164	CLM-125	klein_teeselink_generative_2025	CIT-032	4.2 Construção do painel ocupação-mês com CAGED e crosswalk CBO → OIT	DIRECT	PENDING	MAIN
R0165	CLM-126	klein_teeselink_generative_2025	CIT-032	4.2 Construção do painel ocupação-mês com CAGED e crosswalk CBO → OIT	DIRECT	PENDING	MAIN
R0166	CLM-127	klein_teeselink_generative_2025	CIT-032	4.2 Construção do painel ocupação-mês com CAGED e crosswalk CBO → OIT	DIRECT	PENDING	MAIN
R0167	CLM-128	santos_silva_log_2006	CIT-033	4.3 Especificação econométrica e outcomes	DIRECT	PENDING	MAIN
R0168	CLM-129	chen_logs_2024	CIT-034	4.3 Especificação econométrica e outcomes	DIRECT	PENDING	MAIN
R0169	CLM-130	brynjolfsson_canaries_2025	CIT-035	4.3 Especificação econométrica e outcomes	DIRECT	PENDING	MAIN
R0170	CLM-131	brynjolfsson_canaries_2025	CIT-035	4.3 Especificação econométrica e outcomes	DIRECT	PENDING	MAIN
R0171	CLM-132	brynjolfsson_canaries_2025	CIT-036	4.4 Heterogeneidade e mecanismos	DIRECT	PENDING	MAIN
R0172	CLM-133	brynjolfsson_canaries_2025	CIT-036	4.4 Heterogeneidade e mecanismos	AUTHOR_INFERENCE	PENDING	MAIN
R0173	CLM-134	brynjolfsson_canaries_2025	CIT-036	4.4 Heterogeneidade e mecanismos	AUTHOR_INFERENCE	PENDING	MAIN
R0174	CLM-135	brynjolfsson_canaries_2025	CIT-036	4.4 Heterogeneidade e mecanismos	AUTHOR_INFERENCE	PENDING	MAIN
R0175	CLM-136	brynjolfsson_canaries_2025	CIT-036	4.4 Heterogeneidade e mecanismos	AUTHOR_INFERENCE	PENDING	MAIN
R0176	CLM-137	benjamini_controlling_1995	CIT-037	4.4 Heterogeneidade e mecanismos	DIRECT	PENDING	MAIN
R0177	CLM-138	benjamini_controlling_1995	CIT-037	4.4 Heterogeneidade e mecanismos	DIRECT	PENDING	MAIN
R0178	CLM-139	teutloff_winners_2025	CIT-038	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0179	CLM-140	teutloff_winners_2025	CIT-038	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0180	CLM-141	teutloff_winners_2025	CIT-038	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0181	CLM-142	rambachan_more_2023	CIT-039	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0182	CLM-143	rambachan_more_2023	CIT-039	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0183	CLM-144	rambachan_more_2023	CIT-039	4.5 Validações e falsificações	DIRECT	PENDING	MAIN
R0184	CLM-145	brynjolfsson_canaries_2025	CIT-040	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0185	CLM-146	brynjolfsson_canaries_2025	CIT-040	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0186	CLM-147	brynjolfsson_canaries_2025	CIT-040	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0187	CLM-148	brynjolfsson_canaries_2025	CIT-040	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0188	CLM-149	humlum_still_2025	CIT-041	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0189	CLM-150	humlum_still_2025	CIT-041	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0190	CLM-151	humlum_still_2025	CIT-041	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0191	CLM-152	chandar_tracking_2025	CIT-042	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0192	CLM-153	aldasoro_ai_2026	CIT-043	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0193	CLM-154	aldasoro_ai_2026	CIT-043	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0194	CLM-155	aldasoro_ai_2026	CIT-043	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0195	CLM-156	hosseini_maasoum_generative_2025	CIT-044	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0196	CLM-157	hosseini_maasoum_generative_2025	CIT-044	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0197	CLM-158	klein_teeselink_generative_2025	CIT-045	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0198	CLM-159	klein_teeselink_generative_2025	CIT-045	5.1 Resultados médios nacionais	DIRECT	PENDING	MAIN
R0199	CLM-160	klein_teeselink_generative_2025	CIT-045	5.1 Resultados médios nacionais	AUTHOR_INFERENCE	PENDING	MAIN
R0200	CLM-161	klein_teeselink_generative_2025	CIT-045	5.1 Resultados médios nacionais	AUTHOR_INFERENCE	PENDING	MAIN
R0201	CLM-162	klein_teeselink_generative_2025	CIT-045	5.1 Resultados médios nacionais	AUTHOR_INFERENCE	PENDING	MAIN
R0202	CLM-163	brynjolfsson_canaries_2025	CIT-046	5.2.1 Efeitos por Sexo	DIRECT	PENDING	MAIN
R0203	CLM-164	gmyrek_generative_2025	CIT-047	5.2.1 Efeitos por Sexo	DIRECT	PENDING	MAIN
R0204	CLM-165	gmyrek_generative_2025	CIT-047	5.2.1 Efeitos por Sexo	AUTHOR_INFERENCE	PENDING	MAIN
R0205	CLM-166	brynjolfsson_canaries_2025	CIT-048	5.2.2 Efeitos por raça/cor	DIRECT	PENDING	MAIN
R0206	CLM-166	hosseini_maasoum_generative_2025	CIT-049	5.2.2 Efeitos por raça/cor	DIRECT	PENDING	MAIN
R0207	CLM-166	klein_teeselink_generative_2025	CIT-050	5.2.2 Efeitos por raça/cor	DIRECT	PENDING	MAIN
R0208	CLM-167	brynjolfsson_canaries_2025	CIT-051	5.2.3 Efeitos por faixa etária	DIRECT	PENDING	MAIN
R0209	CLM-168	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	DIRECT	PENDING	MAIN
R0210	CLM-169	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	DIRECT	PENDING	MAIN
R0211	CLM-170	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	AUTHOR_INFERENCE	PENDING	MAIN
R0212	CLM-171	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	AUTHOR_INFERENCE	PENDING	MAIN
R0213	CLM-172	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	AUTHOR_INFERENCE	PENDING	MAIN
R0214	CLM-173	brynjolfsson_canaries_2025	CIT-052	5.2.3 Efeitos por faixa etária	AUTHOR_INFERENCE	PENDING	MAIN
